title,author,rating,url
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.33 avg rating — 8,175,145 ratings",/book/show/2767052-the-hunger-games
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling," 4.50 avg rating — 3,232,738 ratings",/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Pride and Prejudice,Jane Austen," 4.28 avg rating — 4,057,628 ratings",/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 5,831,179 ratings",/book/show/2657.To_Kill_a_Mockingbird
The Book Thief,Markus Zusak," 4.39 avg rating — 2,433,015 ratings",/book/show/19063.The_Book_Thief
"Twilight (The Twilight Saga, #1)",Stephenie Meyer," 3.64 avg rating — 6,287,690 ratings",/book/show/41865.Twilight
Animal Farm,George Orwell," 3.98 avg rating — 3,684,411 ratings",/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien," 4.61 avg rating — 129,792 ratings",/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis," 4.27 avg rating — 629,468 ratings",/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green," 4.14 avg rating — 4,891,835 ratings",/book/show/11870085-the-fault-in-our-stars
The Picture of Dorian Gray,Oscar Wilde," 4.12 avg rating — 1,431,741 ratings",/book/show/5297.The_Picture_of_Dorian_Gray
Gone with the Wind,Margaret Mitchell," 4.31 avg rating — 1,190,070 ratings",/book/show/18405.Gone_with_the_Wind
The Giving Tree,Shel Silverstein," 4.38 avg rating — 1,084,744 ratings",/book/show/370493.The_Giving_Tree
Wuthering Heights,Emily Brontë," 3.88 avg rating — 1,725,752 ratings",/book/show/6185.Wuthering_Heights
The Perks of Being a Wallflower,Stephen Chbosky," 4.23 avg rating — 1,711,396 ratings",/book/show/22628.The_Perks_of_Being_a_Wallflower
Jane Eyre,Charlotte Brontë," 4.14 avg rating — 2,020,334 ratings",/book/show/10210.Jane_Eyre
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown," 3.91 avg rating — 2,287,956 ratings",/book/show/968.The_Da_Vinci_Code
The Great Gatsby,F. Scott Fitzgerald," 3.93 avg rating — 4,968,461 ratings",/book/show/4671.The_Great_Gatsby
The Little Prince,Antoine de Saint-Exupéry," 4.32 avg rating — 1,989,968 ratings",/book/show/157993.The_Little_Prince
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan," 4.30 avg rating — 2,784,152 ratings",/book/show/28187.The_Lightning_Thief
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll," 4.06 avg rating — 547,298 ratings",/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Memoirs of a Geisha,Arthur Golden," 4.15 avg rating — 1,955,533 ratings",/book/show/929.Memoirs_of_a_Geisha
"Divergent (Divergent, #1)",Veronica Roth," 4.15 avg rating — 3,794,856 ratings",/book/show/13335037-divergent
Crime and Punishment,Fyodor Dostoevsky," 4.26 avg rating — 850,876 ratings",/book/show/7144.Crime_and_Punishment
Les Misérables,Victor Hugo," 4.20 avg rating — 779,635 ratings",/book/show/24280.Les_Mis_rables
Lord of the Flies,William Golding," 3.69 avg rating — 2,799,539 ratings",/book/show/7624.Lord_of_the_Flies
Romeo and Juliet,William Shakespeare," 3.74 avg rating — 2,515,509 ratings",/book/show/18135.Romeo_and_Juliet
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.30 avg rating — 937,898 ratings",/book/show/8127.Anne_of_Green_Gables
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare," 4.08 avg rating — 1,947,535 ratings",/book/show/256683.City_of_Bones
The Help,Kathryn Stockett," 4.47 avg rating — 2,652,191 ratings",/book/show/4667024-the-help
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card," 4.31 avg rating — 1,334,481 ratings",/book/show/375802.Ender_s_Game
Dracula,Bram Stoker," 4.01 avg rating — 1,207,736 ratings",/book/show/17245.Dracula
Charlotte's Web,E.B. White," 4.19 avg rating — 1,757,878 ratings",/book/show/24178.Charlotte_s_Web
Of Mice and Men,John Steinbeck," 3.88 avg rating — 2,452,951 ratings",/book/show/890.Of_Mice_and_Men
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams," 4.23 avg rating — 1,777,570 ratings",/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
The Alchemist,Paulo Coelho," 3.90 avg rating — 2,887,079 ratings",/book/show/18144590-the-alchemist
The Catcher in the Rye,J.D. Salinger," 3.80 avg rating — 3,388,099 ratings",/book/show/5107.The_Catcher_in_the_Rye
Fahrenheit 451,Ray Bradbury," 3.97 avg rating — 2,287,436 ratings",/book/show/13079982-fahrenheit-451
Brave New World,Aldous Huxley," 3.99 avg rating — 1,783,151 ratings",/book/show/5129.Brave_New_World
One Hundred Years of Solitude,Gabriel García Márquez," 4.11 avg rating — 935,096 ratings",/book/show/320.One_Hundred_Years_of_Solitude
The Time Traveler's Wife,Audrey Niffenegger," 3.99 avg rating — 1,753,307 ratings",/book/show/18619684-the-time-traveler-s-wife
A Thousand Splendid Suns,Khaled Hosseini," 4.42 avg rating — 1,467,608 ratings",/book/show/128029.A_Thousand_Splendid_Suns
The Princess Bride,William Goldman," 4.26 avg rating — 881,965 ratings",/book/show/21787.The_Princess_Bride
The Secret Garden,Frances Hodgson Burnett," 4.15 avg rating — 1,122,804 ratings",/book/show/2998.The_Secret_Garden
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling," 4.47 avg rating — 9,529,046 ratings",/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin," 4.44 avg rating — 2,402,532 ratings",/book/show/13496.A_Game_of_Thrones
The Outsiders,S.E. Hinton," 4.12 avg rating — 1,261,955 ratings",/book/show/231804.The_Outsiders
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle," 3.98 avg rating — 1,171,514 ratings",/book/show/33574273-a-wrinkle-in-time
Little Women,Louisa May Alcott," 4.14 avg rating — 2,135,240 ratings",/book/show/1934.Little_Women
1984,George Orwell," 4.19 avg rating — 4,340,843 ratings",/book/show/40961427-1984
The Odyssey,Homer," 3.80 avg rating — 1,037,742 ratings",/book/show/1381.The_Odyssey
The Kite Runner,Khaled Hosseini," 4.34 avg rating — 3,022,469 ratings",/book/show/77203.The_Kite_Runner
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley," 3.86 avg rating — 1,514,024 ratings",/book/show/35031085-frankenstein
The Lovely Bones,Alice Sebold," 3.85 avg rating — 2,296,609 ratings",/book/show/12232938-the-lovely-bones
The Adventures of Huckleberry Finn,Mark Twain," 3.83 avg rating — 1,247,925 ratings",/book/show/2956.The_Adventures_of_Huckleberry_Finn
Where the Wild Things Are,Maurice Sendak," 4.24 avg rating — 978,561 ratings",/book/show/19543.Where_the_Wild_Things_Are
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling," 4.62 avg rating — 3,552,261 ratings",/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Green Eggs and Ham,Dr. Seuss," 4.31 avg rating — 746,827 ratings",/book/show/23772.Green_Eggs_and_Ham
"The Giver (The Giver, #1)",Lois Lowry," 4.12 avg rating — 2,348,764 ratings",/book/show/3636.The_Giver
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood," 4.13 avg rating — 1,946,832 ratings",/book/show/38447.The_Handmaid_s_Tale
Life of Pi,Yann Martel," 3.93 avg rating — 1,577,315 ratings",/book/show/4214.Life_of_Pi
A Tale of Two Cities,Charles Dickens," 3.87 avg rating — 924,154 ratings",/book/show/1953.A_Tale_of_Two_Cities
Lolita,Vladimir Nabokov," 3.88 avg rating — 816,592 ratings",/book/show/7604.Lolita
"Dune (Dune, #1)",Frank Herbert," 4.26 avg rating — 1,256,587 ratings",/book/show/44767458-dune
Slaughterhouse-Five,Kurt Vonnegut Jr.," 4.09 avg rating — 1,328,584 ratings",/book/show/4981.Slaughterhouse_Five
Water for Elephants,Sara Gruen," 4.10 avg rating — 1,576,925 ratings",/book/show/43641.Water_for_Elephants
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling," 4.58 avg rating — 3,935,717 ratings",/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Bell Jar,Sylvia Plath," 4.05 avg rating — 877,683 ratings",/book/show/6514.The_Bell_Jar
The Stand,Stephen King," 4.35 avg rating — 736,253 ratings",/book/show/149267.The_Stand
Matilda,Roald Dahl," 4.33 avg rating — 895,378 ratings",/book/show/39988.Matilda
Catch-22,Joseph Heller," 3.99 avg rating — 815,295 ratings",/book/show/168668.Catch_22
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett," 4.33 avg rating — 742,947 ratings",/book/show/5043.The_Pillars_of_the_Earth
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle," 4.30 avg rating — 291,079 ratings",/book/show/3590.The_Adventures_of_Sherlock_Holmes
"Watership Down (Watership Down, #1)",Richard  Adams," 4.08 avg rating — 472,272 ratings",/book/show/76620.Watership_Down
Great Expectations,Charles Dickens," 3.79 avg rating — 777,104 ratings",/book/show/2623.Great_Expectations
Rebecca,Daphne du Maurier," 4.24 avg rating — 599,923 ratings",/book/show/17899948-rebecca
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling," 4.47 avg rating — 9,529,046 ratings",/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
"Outlander (Outlander, #1)",Diana Gabaldon," 4.26 avg rating — 1,012,095 ratings",/book/show/10964.Outlander
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson," 4.16 avg rating — 3,082,443 ratings",/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
One Flew Over the Cuckoo's Nest,Ken Kesey," 4.20 avg rating — 715,999 ratings",/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
The Color Purple,Alice Walker," 4.26 avg rating — 651,805 ratings",/book/show/52892857-the-color-purple
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien," 4.39 avg rating — 2,731,574 ratings",/book/show/61215351-the-fellowship-of-the-ring
My Sister's Keeper,Jodi Picoult," 4.10 avg rating — 1,191,923 ratings",/book/show/10917.My_Sister_s_Keeper
Anna Karenina,Leo Tolstoy," 4.08 avg rating — 817,831 ratings",/book/show/15823480-anna-karenina
The Brothers Karamazov,Fyodor Dostoevsky," 4.36 avg rating — 315,441 ratings",/book/show/4934.The_Brothers_Karamazov
A Tree Grows in Brooklyn,Betty  Smith," 4.29 avg rating — 451,844 ratings",/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange,Anthony Burgess," 4.00 avg rating — 693,582 ratings",/book/show/41817486-a-clockwork-orange
The Road,Cormac McCarthy," 3.98 avg rating — 866,366 ratings",/book/show/6288.The_Road
And Then There Were None,Agatha Christie," 4.28 avg rating — 1,268,166 ratings",/book/show/16299.And_Then_There_Were_None
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt," 4.14 avg rating — 616,068 ratings",/book/show/252577.Angela_s_Ashes
"The Golden Compass (His Dark Materials, #1)",Philip Pullman," 4.02 avg rating — 1,486,006 ratings",/book/show/119322.The_Golden_Compass
"Vampire Academy (Vampire Academy, #1)",Richelle Mead," 4.11 avg rating — 633,333 ratings",/book/show/345627.Vampire_Academy
Siddhartha,Hermann Hesse," 4.06 avg rating — 739,882 ratings",/book/show/52036.Siddhartha
To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 5,831,179 ratings",/book/show/2654.To_Kill_a_Mockingbird
It,Stephen King," 4.25 avg rating — 1,054,326 ratings",/book/show/830502.It
"The Shining (The Shining, #1)",Stephen King," 4.26 avg rating — 1,421,601 ratings",/book/show/11588.The_Shining
The Complete Stories and Poems,Edgar Allan Poe," 4.38 avg rating — 244,834 ratings",/book/show/23919.The_Complete_Stories_and_Poems
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice," 4.02 avg rating — 568,480 ratings",/book/show/43763.Interview_with_the_Vampire
Don Quixote,Miguel de Cervantes Saavedra," 3.89 avg rating — 260,543 ratings",/book/show/3836.Don_Quixote
The Poisonwood Bible,Barbara Kingsolver," 4.09 avg rating — 727,200 ratings",/book/show/7244.The_Poisonwood_Bible
