title,author,rating,url,cover
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.33 avg rating — 8,175,145 ratings",https://www.goodreads.com/book/show/2767052-the-hunger-games,
The Catcher in the Rye,J.D. Salinger," 3.80 avg rating — 3,388,099 ratings",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,
The Alchemist,Paulo Coelho," 3.90 avg rating — 2,887,079 ratings",https://www.goodreads.com/book/show/18144590-the-alchemist,
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams," 4.23 avg rating — 1,777,570 ratings",https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,
Of Mice and Men,John Steinbeck," 3.88 avg rating — 2,452,951 ratings",https://www.goodreads.com/book/show/890.Of_Mice_and_Men,
Charlotte's Web,E.B. White," 4.19 avg rating — 1,757,878 ratings",https://www.goodreads.com/book/show/24178.Charlotte_s_Web,
Dracula,Bram Stoker," 4.01 avg rating — 1,207,736 ratings",https://www.goodreads.com/book/show/17245.Dracula,
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card," 4.31 avg rating — 1,334,481 ratings",https://www.goodreads.com/book/show/375802.Ender_s_Game,
The Help,Kathryn Stockett," 4.47 avg rating — 2,652,191 ratings",https://www.goodreads.com/book/show/4667024-the-help,
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare," 4.08 avg rating — 1,947,535 ratings",https://www.goodreads.com/book/show/256683.City_of_Bones,
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.30 avg rating — 937,898 ratings",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,
Romeo and Juliet,William Shakespeare," 3.74 avg rating — 2,515,509 ratings",https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,
Lord of the Flies,William Golding," 3.69 avg rating — 2,799,539 ratings",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,
Les Misérables,Victor Hugo," 4.20 avg rating — 779,635 ratings",https://www.goodreads.com/book/show/24280.Les_Mis_rables,
Crime and Punishment,Fyodor Dostoevsky," 4.26 avg rating — 850,876 ratings",https://www.goodreads.com/book/show/7144.Crime_and_Punishment,
"Divergent (Divergent, #1)",Veronica Roth," 4.15 avg rating — 3,794,856 ratings",https://www.goodreads.com/book/show/13335037-divergent,
Memoirs of a Geisha,Arthur Golden," 4.15 avg rating — 1,955,533 ratings",https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll," 4.06 avg rating — 547,298 ratings",https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan," 4.30 avg rating — 2,784,152 ratings",https://www.goodreads.com/book/show/28187.The_Lightning_Thief,
The Little Prince,Antoine de Saint-Exupéry," 4.32 avg rating — 1,989,968 ratings",https://www.goodreads.com/book/show/157993.The_Little_Prince,
title,author,rating,url,cover
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.33 avg rating — 8,175,145 ratings",https://www.goodreads.com/book/show/2767052-the-hunger-games,
The Help,Kathryn Stockett," 4.47 avg rating — 2,652,191 ratings",https://www.goodreads.com/book/show/4667024-the-help,
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare," 4.08 avg rating — 1,947,535 ratings",https://www.goodreads.com/book/show/256683.City_of_Bones,
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.30 avg rating — 937,898 ratings",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,
Romeo and Juliet,William Shakespeare," 3.74 avg rating — 2,515,509 ratings",https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,
Lord of the Flies,William Golding," 3.69 avg rating — 2,799,539 ratings",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,
Les Misérables,Victor Hugo," 4.20 avg rating — 779,635 ratings",https://www.goodreads.com/book/show/24280.Les_Mis_rables,
Crime and Punishment,Fyodor Dostoevsky," 4.26 avg rating — 850,876 ratings",https://www.goodreads.com/book/show/7144.Crime_and_Punishment,
"Divergent (Divergent, #1)",Veronica Roth," 4.15 avg rating — 3,794,856 ratings",https://www.goodreads.com/book/show/13335037-divergent,
title,author,rating,url,quotes
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.33 avg rating — 8,175,145 ratings",https://www.goodreads.com/book/show/2767052-the-hunger-games,
Dracula,Bram Stoker," 4.01 avg rating — 1,207,736 ratings",https://www.goodreads.com/book/show/17245.Dracula,936
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card," 4.31 avg rating — 1,334,481 ratings",https://www.goodreads.com/book/show/375802.Ender_s_Game,
The Help,Kathryn Stockett," 4.47 avg rating — 2,652,191 ratings",https://www.goodreads.com/book/show/4667024-the-help,364
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare," 4.08 avg rating — 1,947,535 ratings",https://www.goodreads.com/book/show/256683.City_of_Bones,
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.30 avg rating — 937,898 ratings",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,
Romeo and Juliet,William Shakespeare," 3.74 avg rating — 2,515,509 ratings",https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,
Lord of the Flies,William Golding," 3.69 avg rating — 2,799,539 ratings",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,235
title,author,rating,cover
Murder at the Vicarage,Agatha Christie,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388386575i/16331.jpg
